num_ranks,m0,n0,k0,rsa,csa,rsb,csb,rsc,csc,result
2,16,16,16,16,1,16,1,16,1,8.52
2,32,32,32,32,1,32,1,32,1,17.77
2,48,48,48,48,1,48,1,48,1,22.62
2,64,64,64,64,1,64,1,64,1,22.87
2,80,80,80,80,1,80,1,80,1,25.10
2,96,96,96,96,1,96,1,96,1,19.98
2,112,112,112,112,1,112,1,112,1,19.97
2,128,128,128,128,1,128,1,128,1,26.18
2,144,144,144,144,1,144,1,144,1,24.75
2,160,160,160,160,1,160,1,160,1,27.30
2,176,176,176,176,1,176,1,176,1,27.38
2,192,192,192,192,1,192,1,192,1,1.83
2,208,208,208,208,1,208,1,208,1,3.62
2,224,224,224,224,1,224,1,224,1,2.74
2,240,240,240,240,1,240,1,240,1,4.01
